base_controller.py              connect line:172 walltime:396ms     INFO Connected to server: localhost:64444
prt_controller.py      on_SIM_GREETING line:184 walltime:1502ms     INFO Sim Greeting message received. Sim end at: 5000.000000
prt_controller.py         on_SIM_START line:218 walltime:7235ms     INFO Sim Start message received.
prt_controller.py       update_vehicle line:1446 walltime:7997ms  WARNING t:2.750 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 17.987
prt_controller.py       update_vehicle line:1446 walltime:8007ms  WARNING t:2.966 Vehicle 28 is following too close to vehicle 29. lv_dist: 16.420 desired separation: 18.971
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 0 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 1 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 2 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 3 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 4 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 5 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 6 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8196ms    DEBUG t:5.100 Station 7 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 8 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 9 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 10 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 11 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 12 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 13 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 14 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8197ms    DEBUG t:5.100 Station 15 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 16 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 17 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 18 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 19 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 20 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 21 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 22 heartbeat.
prt_controller.py            heartbeat line:106 walltime:8198ms    DEBUG t:5.100 Station 23 heartbeat.
